GSSCode,diversity2011
E01000753,0.703
E01000754,0.874
E01000755,0.892
E01000756,0.959
E01000757,1.43
E01000758,1.346
E01000759,1.321
E01000760,1.357
E01000761,1.357
E01000762,1.363
E01000763,1.26
E01000764,0.497
E01000765,0.378
E01000766,0.369
E01000767,0.66
E01000768,0.966
E01000769,0.442
E01000770,0.527
E01000771,0.717
E01000772,0.625
E01000773,0.761
E01000774,0.444
E01000775,0.675
E01000777,0.462
E01000778,0.534
E01000779,0.56
E01000780,0.964
E01000781,0.611
E01000782,0.737
E01000783,0.538
E01000784,0.569
E01000785,0.578
E01000786,0.551
E01000787,0.943
E01000788,0.719
E01000789,1.02
E01000790,0.821
E01000791,0.817
E01000792,0.998
E01000793,1.065
E01000794,0.932
E01000795,0.99
E01000796,1.052
E01000797,1.128
E01000798,1.028
E01000799,1.1
E01000800,1.021
E01000801,0.806
E01000802,0.866
E01000803,0.553
E01000804,0.644
E01000805,0.999
E01000806,1.052
E01000807,1.034
E01000808,0.696
E01000809,0.965
E01000810,0.556
E01000811,0.586
E01000812,0.657
E01000813,1.42
E01000814,0.934
E01000815,1.387
E01000816,1.326
E01000818,1.371
E01000819,1.275
E01000820,1.315
E01000822,1.287
E01000823,1.19
E01000824,1.225
E01000825,1.406
E01000826,0.695
E01000827,0.697
E01000828,0.503
E01000829,0.597
E01000830,0.628
E01000831,0.745
E01000832,0.684
E01000833,0.72
E01000834,0.606
E01000835,1.213
E01000836,1.04
E01000837,1.193
E01000838,0.933
E01000839,1.063
E01000840,0.771
E01000841,0.948
E01000842,0.946
E01000843,0.81
E01000844,1.019
E01000845,0.966
E01000846,1.023
E01000847,0.908
E01000848,0.863
E01000849,0.885
E01000850,0.782
E01000851,0.67
E01000853,0.733
E01000855,0.751
E01000856,0.915
E01000857,0.697
E01000858,0.657
E01000859,0.538
E01000860,0.664
E01000861,1.047
E01000862,1.28
E01000863,1.16
E01000866,1.118
E01000867,1.444
E01000868,1.432
E01000869,1.104
E01000870,1.166
E01000871,1.343
E01000872,1.35
E01000873,1.343
E01000874,1.407
E01000875,1.496
E01000876,1.237
E01000877,1.442
E01000878,1.048
E01000879,1.467
E01000880,0.847
E01000881,1
E01000882,1.296
E01000883,1.031
E01000884,1.163
E01000885,1.243
E01000886,1.166
E01000887,1.31
E01000888,1.412
E01000889,1.48
E01000890,1.263
E01000891,1.2
E01000892,1.309
E01000893,1.357
E01000894,1.055
E01000895,1.184
E01000896,1.351
E01000897,1.471
E01000898,1.111
E01000899,1.309
E01000900,1.068
E01000901,1.174
E01000902,1.318
E01000903,1.037
E01000904,1.316
E01000905,1.076
E01000906,1.176
E01000907,0.992
E01000908,1.157
E01000909,1.148
E01000910,1.441
E01000911,1.433
E01000912,1.46
E01000913,1.217
E01000914,0.793
E01000915,0.936
E01000916,1.083
E01000917,0.924
E01000918,1.064
E01000919,1.451
E01000920,0.836
E01000921,1.267
E01000922,1.509
E01000923,1.513
E01000924,1.21
E01000925,1.365
E01000926,1.474
E01000927,1.154
E01000928,1.247
E01000929,1.278
E01000930,0.963
E01000931,0.949
E01000932,1.146
E01000933,1.156
E01000934,0.782
E01000935,1.298
E01000937,1.427
E01000938,1.39
E01000939,1.462
E01000941,1.381
E01000942,1.426
E01000943,1.303
E01000944,1.175
E01000946,1.262
E01000947,1.109
E01000948,1.117
E01000949,1.437
E01000951,1.436
E01000952,1.169
E01000954,1.225
E01000955,1.516
E01000956,1.474
E01000957,1.469
E01000958,1.314
E01000959,1.262
E01000960,1.489
E01000961,1.493
E01000962,1.482
E01000963,1.417
E01000964,1.505
E01000965,1.428
E01000966,1.452
E01000967,1.469
E01000968,1.343
E01000969,1.356
E01000970,1.494
E01000971,1.449
E01000972,1.372
E01000973,1.382
E01000974,1.237
E01000975,1.402
E01000976,1.456
E01000977,1.473
E01000978,1.474
E01000979,1.452
E01000980,1.513
E01000981,1.498
E01000982,1.476
E01000983,1.419
E01000984,1.499
E01000985,1.436
E01000986,1.378
E01000987,1.467
E01000989,1.179
E01000990,1.435
E01000991,1.205
E01000992,1.275
E01000993,0.931
E01000994,1.177
E01000995,1.206
E01000996,1.197
E01000997,1.043
E01000998,1.038
E01000999,1.468
E01001000,1.397
E01001001,1.439
E01001002,1.444
E01001003,1.48
E01001004,1.467
E01001005,1.425
E01001006,1.415
E01001007,1.43
E01001008,1.404
E01001009,1.403
E01001010,1.383
E01001011,1.499
E01001012,1.274
E01001013,1.385
E01001015,1.293
E01001016,1.282
E01001017,1.43
E01001018,1.195
E01001019,1.446
E01001020,1.33
E01001021,1.459
E01001022,1.431
E01001023,1.417
E01001024,1.482
E01001025,1.48
E01001026,1.394
E01001027,1.44
E01001028,1.432
E01001029,1.414
E01001030,1.468
E01001031,1.472
E01001032,1.376
E01001033,1.494
E01001034,1.376
E01001035,1.507
E01001036,1.411
E01001037,1.467
E01001038,1.47
E01001039,1.473
E01001040,1.532
E01001041,1.518
E01001042,1.063
E01001044,1.12
E01001046,0.78
E01001047,0.611
E01001049,0.87
E01001050,0.965
E01001051,1.049
E01001052,0.821
E01001053,1.298
E01001054,1.061
E01001055,0.934
E01001056,0.801
E01001057,1.08
E01001058,1.321
E01001059,1.268
E01001060,1.329
E01001061,1.151
E01001062,1.001
E01001063,1.36
E01001064,1.26
E01001065,1.386
E01001066,1.273
E01001067,1.376
E01001068,1.358
E01001069,1.13
E01001070,1.278
E01001071,1.396
E01001072,1.473
E01001073,1.493
E01001074,1.38
E01001075,1.394
E01001076,1.327
E01001077,1.367
E01001078,1.516
E01001079,1.388
E01001080,1.404
E01001081,1.303
E01001082,1.301
E01001083,1.115
E01001084,1.232
E01001085,1.132
E01001086,1.35
E01001087,1.415
E01001088,1.023
E01001089,1.002
E01001090,1.048
E01001091,1.173
E01001092,1.268
E01001093,1.2
E01001094,1.19
E01001095,0.932
E01001096,1.386
E01001097,1.229
E01001098,1.127
E01001099,1.126
E01001100,1.265
E01001101,0.966
E01001102,0.903
E01001103,1.186
E01001104,1.313
E01001105,1.012
E01001106,1.216
E01001107,0.956
E01001108,1.156
E01001109,1.073
E01001110,1.235
E01001111,1.12
E01001112,1.084
E01001113,1.457
E01001114,1.447
E01001115,1.491
E01001116,1.504
E01001118,1.478
E01001119,1.488
E01001120,1.502
E01001121,1.493
E01001122,1.473
E01001123,1.309
E01001124,1.455
E01001125,1.25
E01001126,1.344
E01001127,1.256
E01001128,1.345
E01001129,1.139
E01001130,1.259
E01001131,1.159
E01001132,0.963
E01001133,1.048
E01001134,0.991
E01001135,1.075
E01001136,0.928
E01001137,1.034
E01001138,1.193
E01001139,1.051
E01001140,1.476
E01001141,1.49
E01001142,1.465
E01001143,1.443
E01001144,1.462
E01001145,1.455
E01001146,1.5
E01001147,1.487
E01001148,1.467
E01001149,1.496
E01001150,0.714
E01001151,1.11
E01001152,0.924
E01001153,1.236
E01001154,1.072
E01001155,0.899
E01001156,1.193
E01001157,0.912
E01001158,1.147
E01001159,1.413
E01001160,1.076
E01001161,1.444
E01001162,1.086
E01001163,1.132
E01001164,1.162
E01001165,1.216
E01001166,1.243
E01001167,1.482
E01001168,1.375
E01001169,1.334
E01001170,1.45
E01001171,1.423
E01001172,1.426
E01001173,1.373
E01001174,1.417
E01001175,1.446
E01001176,1.461
E01001177,1.38
E01001178,1.461
E01001179,1.417
E01001180,1.415
E01001181,1.447
E01001182,1.478
E01001183,1.448
E01001184,1.445
E01001185,1.45
E01001186,1.442
E01001187,1.427
E01001188,1.476
E01001189,1.411
E01001190,1.472
E01001191,1.467
E01001192,1.491
E01001193,1.452
E01001194,1.455
E01001195,1.351
E01001196,1.443
E01001197,1.462
E01001198,1.49
E01001199,1.438
E01001200,1.445
E01001201,1.44
E01001202,1.453
E01001203,1.457
E01001204,1.468
E01001205,1.413
E01001206,1.441
E01001207,1.4
E01001208,1.452
E01001209,1.489
E01001210,1.419
E01001211,1.457
E01001212,1.498
E01001213,1.423
E01001214,1.402
E01001215,1.415
E01001216,1.415
E01001217,1.444
E01001218,1.478
E01001219,1.437
E01001220,1.461
E01001223,1.43
E01001224,1.466
E01001225,1.392
E01001226,1.477
E01001227,1.404
E01001228,1.5
E01001229,1.541
E01001230,1.436
E01001231,1.293
E01001232,1.445
E01001233,1.356
E01001234,1.244
E01001235,1.516
E01001236,1.423
E01001237,1.354
E01001239,1.504
E01001240,1.526
E01001241,1.274
E01001242,1.171
E01001243,1.091
E01001244,1.545
E01001245,1.236
E01001246,1.267
E01001247,1.147
E01001248,1.113
E01001249,1.177
E01001250,1.204
E01001251,1.36
E01001252,1.48
E01001253,1.441
E01001254,1.453
E01001255,1.278
E01001257,1.422
E01001258,1.176
E01001259,1.021
E01001260,1.33
E01001261,1.348
E01001262,1.262
E01001263,1.297
E01001264,1.388
E01001265,1.222
E01001266,1.365
E01001267,1.374
E01001268,1.308
E01001269,1.389
E01001270,1.289
E01001271,1.325
E01001272,1.076
E01001273,1.558
E01001274,1.54
E01001275,1.547
E01001276,1.519
E01001277,1.505
E01001278,1.548
E01001279,1.541
E01001280,1.372
E01001281,1.506
E01001282,1.504
E01001283,1.385
E01001284,1.526
E01001285,1.433
E01001286,1.267
E01001287,1.386
E01001288,1.267
E01001289,1.124
E01001290,1.29
E01001291,1.53
E01001292,1.469
E01001293,1.428
E01001294,1.447
E01001295,1.486
E01001296,1.507
E01001297,1.514
E01001298,1.498
E01001299,1.462
E01001300,1.469
E01001301,1.496
E01001302,1.432
E01001303,1.458
E01001304,1.453
E01001305,1.429
E01001306,1.465
E01001307,1.417
E01001308,1.433
E01001309,1.375
E01001310,1.485
