GSSCode,diversity2011
E01000896,0.615
E01000899,0.542
E01000910,0.637
E01000911,0.822
E01000921,0.85
E01000923,0.785
E01000928,0.904
E01000878,0.997
E01000879,0.744
E01000880,0.846
E01000884,0.749
E01000885,0.848
E01000871,1
E01000872,1.06
E01000873,0.735
E01000874,0.857
E01000877,0.787
E01000886,0.674
E01000887,0.832
E01000888,0.822
E01000892,0.894
E01000903,0.883
E01000889,1.178
E01000890,1.166
E01000891,1.215
E01000901,1.31
E01000922,0.944
E01000927,0.844
E01000881,1.009
E01000882,0.711
E01000883,1.003
E01000897,0.732
E01000898,1.197
E01000866,1.001
E01000870,0.874
E01000924,0.792
E01000925,1.185
E01000926,1.175
E01000969,0.869
E01000970,0.721
E01000971,0.712
E01000972,1.225
E01000973,1.114
E01000842,0.723
E01000844,0.827
E01000848,0.776
E01000849,0.837
E01000900,0.949
E01000902,1.302
E01000904,1.07
E01000905,1.248
E01000906,0.829
E01000875,1.052
E01000876,1.225
E01000931,1.221
E01000932,1.005
E01000974,1.176
E01000843,0.964
E01000845,0.788
E01000846,1.187
E01000847,1.169
E01000864,0.924
E01000865,0.829
E01000867,1.14
E01000868,1.274
E01000869,0.945
E01000962,0.847
E01000964,0.88
E01000965,0.958
E01000966,0.614
E01000968,0.881
E01000960,1.091
E01000961,1.234
E01000963,1.193
E01000967,0.848
E01000857,0.723
E01000858,1.221
E01000859,0.552
E01000860,0.684
E01000862,0.712
E01000856,1.188
E01000861,0.982
E01000957,1.147
E01000958,1.279
E01000959,1.183
E01000929,1.305
E01000930,1.229
E01000933,0.945
E01000934,1.273
E01000935,1.276
E01000863,0.836
E01000946,1.08
E01000947,1.094
E01000948,0.917
E01000952,1.252
E01000953,1.235
E01000954,1.341
E01000955,1.287
E01000956,1.297
E01000944,1.293
E01000945,1.23
E01000949,1.126
E01000950,1.273
E01000951,1.27
E01000936,1.273
E01000938,1.32
E01000939,1.258
E01000940,1.219
E01000853,1.133
E01000937,1.163
E01000941,1.259
E01000942,1.043
E01000943,1.058
E01000850,1.04
E01000851,1.051
E01000852,1.044
E01000854,1.326
E01000915,1.187
E01000916,1.106
E01000917,1.233
E01000920,0.99
E01000855,0.91
E01000914,0.982
E01000918,1.093
E01000919,1.165
E01000001,0.601
E01000002,0.457
E01000003,0.764
E01000005,1.242
E01032739,0.727
E01032740,0.64
E01001137,1.085
E01001138,1.029
E01001156,1.17
E01001162,1.213
E01001164,1.052
E01001084,1.21
E01001157,1.294
E01001159,1.248
E01001160,1.335
E01001163,1.214
E01001083,1.272
E01001086,1.376
E01001087,1.336
E01001161,1.359
E01001085,1.366
E01001088,1.362
E01001089,1.357
E01001090,1.35
E01001091,1.301
E01001147,1.316
E01001148,1.229
E01001151,1.316
E01001152,1.314
E01001158,1.157
E01001146,1.198
E01001149,1.209
E01001150,1.255
E01001153,1.323
E01001154,1.303
E01001136,1.299
E01001139,1.24
E01001140,1.165
E01001142,1.11
E01001144,1.26
E01001141,1.214
E01001143,1.204
E01001145,1.295
E01001191,1.303
E01001192,1.157
E01000994,1.333
E01000995,1.322
E01000996,1.289
E01000997,1.388
E01000999,1.269
E01001002,1.28
E01000998,1.375
E01001000,1.329
E01001003,1.335
E01001111,1.313
E01001155,1.323
E01001174,1.303
E01001175,1.33
E01001176,1.301
E01001182,1.294
E01001183,1.316
E01001184,1.304
E01001001,1.286
E01001109,1.287
E01001112,1.262
E01001113,1.296
E01001114,1.309
E01001116,1.349
E01000992,1.214
E01001185,1.146
E01001186,1.237
E01001188,1.235
E01001193,1.317
E01001004,1.361
E01001115,1.402
E01001117,1.36
E01001178,1.382
E01001181,1.406
E01001006,1.347
E01001007,1.218
E01001177,1.337
E01001179,1.281
E01001180,1.347
E01000980,1.179
E01000981,1.129
E01000982,1.126
E01000983,1.096
E01001187,1.265
E01000989,0.965
E01000991,0.863
E01001131,0.758
E01001132,0.801
E01001134,0.889
E01001005,1.228
E01001008,1.372
E01001009,1.3
E01001010,1.254
E01001011,1.378
E01001012,1.377
E01001013,1.428
E01001048,1.384
E01001110,1.347
E01001118,1.365
E01000985,0.955
E01000986,1.098
E01000987,0.978
E01000993,1.024
E01000975,1.195
E01000976,1.26
E01000977,1.232
E01000978,1.162
E01000979,1.148
E01000984,1.287
E01001044,1.101
E01001046,1.063
E01001049,1.13
E01001050,1.15
E01001014,1.366
E01001042,1.236
E01001165,1.191
E01001166,1.218
E01001168,1.179
E01001127,0.816
E01001128,1.151
E01001130,1.258
E01001135,0.918
E01001062,0.946
E01001063,0.869
E01001064,0.849
E01001129,0.748
E01001133,0.83
E01001035,1.101
E01001043,1.284
E01001045,1.116
E01001047,1.073
E01001170,1.181
E01001167,1.274
E01001169,1.197
E01001171,1.216
E01001172,1.211
E01001173,1.231
E01001036,0.951
E01001037,1.086
E01001038,1.061
E01001039,0.794
E01001040,0.962
E01001051,0.986
E01001052,0.983
E01001054,0.896
E01001056,1.051
E01001057,1.156
E01001033,1.064
E01001034,0.94
E01001041,1.113
E01001095,1.042
E01001100,0.829
E01001053,0.78
E01001055,0.792
E01001077,0.638
E01001078,0.819
E01001082,0.744
E01001120,0.778
E01001122,0.904
E01001123,0.742
E01001124,0.584
E01001125,0.858
E01001058,0.696
E01001059,0.684
E01001060,0.719
E01001061,0.846
E01001065,0.621
E01001066,1.103
E01001119,0.449
E01001126,0.604
E01001032,0.673
E01001101,0.645
E01001102,0.716
E01001107,0.859
E01001108,0.723
E01001076,0.889
E01001079,0.733
E01001080,0.906
E01001081,0.784
E01001073,0.854
E01001092,0.995
E01001093,1.205
E01001096,0.932
E01001097,1.043
E01001098,0.807
E01001028,1.011
E01001029,0.944
E01001030,1.022
E01001031,0.818
E01001094,0.915
E01001103,0.668
E01001105,0.616
E01001106,0.711
E01001121,0.605
E01001069,0.791
E01001070,0.945
E01001075,0.689
E01001099,0.939
E01001015,0.733
E01001016,0.795
E01001023,0.984
E01001067,0.902
E01001074,1.004
E01001068,0.799
E01001071,0.651
E01001072,0.59
E01001104,0.746
E01001017,0.496
E01001024,0.732
E01001025,0.62
E01001026,0.515
E01001027,0.751
E01001018,0.376
E01001019,0.57
E01001020,0.649
E01001021,0.723
E01001022,0.528
E01000990,1.172
E01001189,1.246
E01001190,1.224
E01001194,1.145
E01032569,1.182
E01001269,1.233
E01001271,1.195
E01001309,1.222
E01001310,1.284
E01001311,1.242
E01001307,1.202
E01001308,1.21
E01001312,1.165
E01001313,1.182
E01001314,1.224
E01001315,1.281
E01001316,1.334
E01001317,1.286
E01001318,1.303
E01001320,1.331
E01001321,1.257
E01001270,1.217
E01001319,1.217
E01001322,1.149
E01001323,1.224
E01001341,1.271
E01001342,1.236
E01001343,1.253
E01001345,1.196
E01001265,1.228
E01001266,1.255
E01001267,1.296
E01001272,1.249
E01001349,1.354
E01001344,1.291
E01001346,1.224
E01001347,1.22
E01001348,1.223
E01001257,1.383
E01001324,1.333
E01001326,1.314
E01001330,1.309
E01001332,1.379
E01001325,1.243
E01001327,1.331
E01001328,1.378
E01001329,1.315
E01001331,1.418
E01001258,1.258
E01001262,1.317
E01001263,1.351
E01001264,1.29
E01032743,1.469
E01032744,1.292
E01001276,1.258
E01001277,1.246
E01001278,1.272
E01001280,1.167
E01001218,1.345
E01001260,1.238
E01001261,1.297
E01001268,1.169
E01001209,0.766
E01001211,0.914
E01001279,0.933
E01001281,0.777
E01001217,1.175
E01001259,1.209
E01001291,1.25
E01001292,1.295
E01001293,1.084
E01001196,1.356
E01001238,1.405
E01001239,1.386
E01001246,1.296
E01001247,1.285
E01001210,1.387
E01001282,1.213
E01001283,1.255
E01001285,1.17
E01001286,1.136
E01001287,1.366
E01001294,0.909
E01001295,0.892
E01001296,1.049
E01001297,0.828
E01001298,1.023
E01001204,1.055
E01001205,1.291
E01001206,1.419
E01001207,0.958
E01001208,0.845
E01001212,0.947
E01001222,1.151
E01001224,0.698
E01001226,1.048
E01001227,0.939
E01001228,0.982
E01001221,0.958
E01001223,0.84
E01001225,1.024
E01001235,0.972
E01001236,1.017
E01001273,1.168
E01001274,1.25
E01001275,1.084
E01001195,1.303
E01001197,1.177
E01001198,0.981
E01001199,1.183
E01001284,1.008
E01001288,1.036
E01001289,1.02
E01001290,0.967
E01001213,0.868
E01001214,0.806
E01001215,0.923
E01001216,0.957
E01001361,0.832
E01001240,1.373
E01001241,1.318
E01001242,1.296
E01001243,1.386
E01001244,1.386
E01001245,1.08
E01001200,1.059
E01001201,0.925
E01001202,1.306
E01001203,1.15
E01001351,1.173
E01001359,0.708
E01001360,0.563
E01001362,0.69
E01001363,0.746
E01001364,0.948
E01001365,0.642
E01001231,1.071
E01001234,1.102
E01001350,1.031
E01001352,1.015
E01001354,0.973
E01001249,1.341
E01001250,1.167
E01001255,0.973
E01001383,0.998
E01001388,1.155
E01001389,1.004
E01001219,1.356
E01001220,1.369
E01001334,1.196
E01001337,1.353
E01001338,1.033
E01001339,1.324
E01001340,1.392
E01001251,0.949
E01001252,1.099
E01001253,0.95
E01001254,0.799
E01001229,1.101
E01001230,0.9
E01001232,1.083
E01001233,0.997
E01001237,0.747
E01001386,0.674
E01001303,0.742
E01001382,0.806
E01001384,0.929
E01001385,0.786
E01001387,0.848
E01001353,1.138
E01001355,1.07
E01001356,1.425
E01001357,1.349
E01001358,1.44
E01001375,0.513
E01001377,0.641
E01001379,0.529
E01001381,0.989
E01001248,1.098
E01001299,0.85
E01001305,0.812
E01001306,0.719
E01001366,0.908
E01001367,0.942
E01001368,0.901
E01001370,0.875
E01001371,1.035
E01001372,0.967
E01001373,0.919
E01001333,1.008
E01001335,1.018
E01001336,1.152
E01001369,0.964
E01001300,0.788
E01001301,0.904
E01001302,0.853
E01001304,0.826
E01001374,0.856
E01001376,1.062
E01001380,0.725
E01032572,0.793
E01001444,1.082
E01001446,1.065
E01001546,1.05
E01001552,0.997
E01001442,1.138
E01001545,1.137
E01001547,1.144
E01001548,1.136
E01001551,1.034
E01001445,1.243
E01001447,1.121
E01001448,1.241
E01001449,1.14
E01033148,1.266
E01033150,1.357
E01001408,0.623
E01001411,0.687
E01001412,0.72
E01001413,0.4
E01001414,1.008
E01001407,0.793
E01001409,1.153
E01001410,1.101
E01001516,1.189
E01001537,0.774
E01001439,1.229
E01001441,1.135
E01001517,1.233
E01001549,1.258
E01001550,1.066
E01001433,1.069
E01001434,1.137
E01001435,1.194
E01001436,1.164
E01001438,1.187
E01001469,0.843
E01001536,0.566
E01001540,0.705
E01001541,0.639
E01001542,0.856
E01001538,0.637
E01001539,0.687
E01001543,0.778
E01001544,0.683
E01001457,0.682
E01001468,0.951
E01001471,0.748
E01001472,0.638
E01001474,0.664
E01001415,0.802
E01001417,0.807
E01001418,0.904
E01001422,0.843
E01001440,1.272
E01001504,1.278
E01001505,1.337
E01001507,1.301
E01001508,1.36
E01001513,1.059
E01001416,0.885
E01001470,0.621
E01001473,0.884
E01001475,0.82
E01001437,1.272
E01001506,1.358
E01001509,1.388
E01001510,1.381
E01001405,0.753
E01001406,1.005
E01001450,0.88
E01001512,0.899
E01001515,1.276
E01001401,0.952
E01001478,1.179
E01001484,1.164
E01001511,1.047
E01001514,1.022
E01001518,0.992
E01001451,0.629
E01001452,0.8
E01001453,0.752
E01001454,0.742
E01001476,1.273
E01001477,1.303
E01001481,1.262
E01001502,1.333
E01001503,1.272
E01001520,1.037
E01001522,1.072
E01001523,0.862
E01001524,1.178
E01001526,0.838
E01001419,0.915
E01001420,0.954
E01001421,1.029
E01001519,1.123
E01001525,0.954
E01001398,0.783
E01001399,0.909
E01001400,0.835
E01001402,0.879
E01001403,1.016
E01001455,0.807
E01001456,0.634
E01001564,0.72
E01001567,0.66
E01001568,0.818
E01001569,0.848
E01001479,1.348
E01001482,1.365
E01001487,1.344
E01001489,1.311
E01001491,1.358
E01001459,1.339
E01001460,1.368
E01001462,1.418
E01001480,1.32
E01001488,1.313
E01001483,1.381
E01001485,1.357
E01001486,1.332
E01001492,1.362
E01033146,1.356
E01033151,1.323
E01001404,1.121
E01001493,1.05
E01001494,1.236
E01001496,1.142
E01001570,1.018
E01001423,1.378
E01001425,1.338
E01001428,1.388
E01001461,1.336
E01001464,1.223
E01001521,0.958
E01001531,0.791
E01001532,0.852
E01001533,0.834
E01001535,0.997
E01001495,0.835
E01001498,1.103
E01001563,0.958
E01001565,1.043
E01001566,0.786
E01001424,1.306
E01001426,1.328
E01001427,1.33
E01001429,1.322
E01001430,1.332
E01001463,1.3
E01001465,1.298
E01001466,1.341
E01001467,1.365
E01001497,1.12
E01001499,1.23
E01001392,1.055
E01001528,1.295
E01001529,1.183
