GSSCode,year,diversity
E01000702,2011,0.651
E01000702,2021,0.882
E01000706,2011,0.556
E01000706,2021,0.88
E01000729,2011,0.691
E01000729,2021,0.886
E01000735,2011,0.546
E01000735,2021,0.882
E01000739,2011,0.532
E01000739,2021,0.785
E01000701,2011,0.706
E01000701,2021,0.892
E01000705,2011,0.709
E01000705,2021,1.143
E01000646,2011,0.653
E01000646,2021,0.9
E01000648,2011,0.534
E01000648,2021,0.852
E01000678,2011,0.635
E01000678,2021,0.827
E01000677,2011,0.855
E01000677,2021,0.868
E01000829,2011,1.048
E01000829,2021,0.977
E01034386,2011,0.64
E01034386,2021,1.22
E01000720,2011,0.618
E01000720,2021,0.868
E01000724,2011,0.651
E01000724,2021,1.002
E01000651,2011,0.833
E01000651,2021,0.718
E01000669,2011,0.648
E01000669,2021,0.705
E01000679,2011,0.665
E01000679,2021,0.816
E01000827,2011,0.764
E01000827,2021,0.929
E01000831,2011,0.566
E01000831,2021,0.868
E01000650,2011,0.571
E01000650,2021,0.842
E01000807,2011,0.656
E01000807,2021,0.614
E01000722,2011,0.524
E01000722,2021,0.827
E01000731,2011,0.602
E01000731,2021,0.787
E01000733,2011,0.496
E01000733,2021,0.787
E01000773,2011,0.447
E01000773,2021,0.623
E01000777,2011,0.303
E01000777,2021,0.782
E01000808,2011,0.433
E01000808,2021,0.707
E01000811,2011,0.509
E01000811,2021,0.651
E01000815,2011,0.627
E01000815,2021,0.55
E01000662,2011,0.742
E01000662,2021,0.925
E01000664,2011,0.67
E01000664,2021,0.896
E01000764,2011,0.362
E01000764,2021,0.803
E01000767,2011,0.42
E01000767,2021,0.481
E01000727,2011,0.763
E01000727,2021,0.806
E01000790,2011,0.552
E01000790,2021,1.018
E01000814,2011,0.372
E01000814,2021,0.76
E01000726,2011,0.346
E01000726,2021,0.719
E01000788,2011,0.416
E01000788,2021,0.871
E01000832,2011,0.506
E01000832,2021,0.764
E01000836,2011,0.464
E01000836,2021,0.684
E01000838,2011,0.24
E01000838,2021,0.585
E01000840,2011,0.396
E01000840,2021,0.504
E01000753,2011,0.434
E01000753,2021,0.601
E01000755,2011,0.458
E01000755,2021,0.652
E01000758,2011,0.61
E01000758,2021,0.77
E01000789,2011,0.406
E01000789,2021,1.034
E01000793,2011,0.413
E01000793,2021,0.701
E01000665,2011,0.445
E01000665,2021,0.73
E01000667,2011,0.255
E01000667,2021,0.527
E01000759,2011,0.338
E01000759,2021,0.465
E01000761,2011,0.643
E01000761,2021,0.529
E01000768,2011,0.406
E01000768,2021,0.479
E01000682,2011,0.29
E01000682,2021,0.81
E01000684,2011,0.479
E01000684,2021,0.938
E01000749,2011,0.324
E01000749,2021,0.404
E01000751,2011,0.328
E01000751,2021,0.863
E01000680,2011,0.429
E01000680,2021,0.519
E01000686,2011,0.608
E01000686,2021,0.678
E01000688,2011,0.36
E01000688,2021,0.669
E01000655,2011,0.411
E01000655,2021,0.309
E01000657,2011,0.262
E01000657,2021,0.374
E01000816,2011,0.365
E01000816,2021,1.121
E01000819,2011,0.312
E01000819,2021,1.111
E01032563,2011,0.244
E01032563,2021,1.14
E01000708,2011,0.31
E01000708,2021,0.856
E01000774,2011,0.178
E01000774,2021,0.826
E01000658,2011,0.714
E01000658,2021,0.263
E01000748,2011,0.863
E01000748,2021,0.187
E01000587,2011,0.408
E01000587,2021,1.094
E01000590,2011,0.698
E01000590,2021,1.167
E01000593,2011,0.695
E01000593,2021,1.356
E01000513,2011,0.296
E01000513,2021,1.226
E01000516,2011,0.195
E01000516,2021,1.311
E01033929,2011,1.135
E01033929,2021,1.396
E01000515,2011,1.075
E01000515,2021,1.419
E01000543,2011,1.078
E01000543,2021,1.157
E01033463,2011,1.066
E01033463,2021,1.115
E01000538,2011,1.103
E01000538,2021,1.047
E01000540,2011,1.079
E01000540,2021,1.076
E01000518,2011,0.849
E01000518,2021,1.305
E01000623,2011,0.844
E01000623,2021,1.267
E01000629,2011,0.943
