GSSCode,GSSCode,diversity2011,diversity2021,,GSSCode,diversity2011
E01001851,E01000140,0.973,1.185,,E01001851,0.973
E01001855,E01000143,1.121,1.376,,E01001855,1.121
E01001856,E01033915,1.397,1.529,,E01001856,1.397
E01001869,E01033916,1.01,1.352,,E01001869,1.01
E01001873,E01033917,1.336,1.422,,E01001873,1.336
E01001928,E01033918,1.293,1.397,,E01001928,1.293
E01001931,E01033919,1.466,1.401,,E01001931,1.466
E01001932,E01033920,1.293,1.237,,E01001932,1.293
E01001933,E01033921,1.271,1.433,,E01001933,1.271
E01001866,E01033922,1.382,1.353,,E01001866,1.382
E01001867,E01033923,1.47,1.408,,E01001867,1.47
E01001868,E01033924,1.501,1.443,,E01001868,1.501
E01001870,E01033925,1.404,1.359,,E01001870,1.404
E01001871,E01000147,1.432,1.202,,E01001871,1.432
E01001872,E01000466,1.37,1.208,,E01001872,1.37
E01001893,E01000467,1.457,1.191,,E01001893,1.457
E01001894,E01000468,1.355,1.128,,E01001894,1.355
E01001898,E01000469,1.36,1.195,,E01001898,1.36
E01001899,E01000416,1.455,1.218,,E01001899,1.455
E01001900,E01000418,1.402,1.213,,E01001900,1.402
E01001889,E01000422,1.164,1.186,,E01001889,1.164
E01001910,E01000464,1.311,1.099,,E01001910,1.311
E01001913,E01000465,0.936,1.118,,E01001913,0.936
E01001914,E01000470,1.364,1.184,,E01001914,1.364
E01001885,E01000333,1.535,0.937,,E01001885,1.535
E01001908,E01000335,1.299,1.225,,E01001908,1.299
E01001909,E01000336,1.281,1.226,,E01001909,1.281
E01001911,E01000337,1.516,1.11,,E01001911,1.516
E01001912,E01000338,1.544,1.135,,E01001912,1.544
E01001886,E01000403,1.353,1.091,,E01001886,1.353
E01001887,E01000404,1.339,1.191,,E01001887,1.339
E01001890,E01000405,1.436,1.164,,E01001890,1.436
E01001892,E01000408,1.378,1.296,,E01001892,1.378
E01001880,E01000332,1.225,1.058,,E01001880,1.225
E01001881,E01000402,1.071,0.979,,E01001881,1.071
E01001882,E01000406,1.152,1.197,,E01001882,1.152
E01001883,E01000407,1.314,1.098,,E01001883,1.314
E01001884,E01000334,1.378,1,,E01001884,1.378
E01001888,E01000417,1.075,0.99,,E01001888,1.075
E01001891,E01000419,1.257,0.942,,E01001891,1.257
E01001917,E01000420,0.966,0.819,,E01001917,0.966
E01001918,E01000442,1.068,0.883,,E01001918,1.068
E01001919,E01000437,1.005,0.852,,E01001919,1.005
E01001879,E01000438,1.262,0.851,,E01001879,1.262
E01001901,E01000439,0.98,0.934,,E01001901,0.98
E01001902,E01000440,1.098,0.845,,E01001902,1.098
E01001903,E01000441,1.381,0.932,,E01001903,1.381
