GSSCode,diversity2011
E01003169,1.386
E01003170,1.125
E01003130,1.392
E01003131,1.233
E01003135,1.378
E01003138,1.021
E01003151,1.460
E01003079,1.445
E01003080,1.373
E01003133,1.328
E01003134,1.374
E01003152,1.426
E01003064,1.247
E01003066,1.401
E01003081,1.431
E01003166,1.409
E01003167,1.148
E01003116,1.381
E01003117,1.409
E01003118,1.335
E01003153,1.323
E01003155,1.413
E01003083,1.386
E01003084,1.367
E01003085,1.390
E01003149,1.416
E01003154,1.421
E01003065,1.402
E01003068,1.423
E01003082,1.422
E01003086,1.387
E01003087,1.424
E01003113,1.416
E01003114,1.393
E01003119,1.348
E01003120,1.397
E01003148,1.355
E01003150,1.419
E01003062,1.320
E01003063,1.416
E01003067,1.312
E01003069,1.354
E01003070,1.421
E01003115,1.411
E01003141,1.461
E01003144,1.379
E01003145,1.434
E01003147,1.472
E01003139,1.484
E01003140,1.475
E01003142,1.517
E01003143,1.449
E01003146,1.440
E01003013,1.384
E01003014,1.314
E01003016,1.464
E01003017,1.307
E01032582,1.436
E01003244,1.402
E01003245,1.478
E01003247,1.424
E01003249,1.475
E01003250,1.447
E01003246,1.458
E01003248,1.479
E01003251,1.469
E01003252,1.433
E01003253,1.449
E01003297,1.434
E01003299,1.467
E01003301,1.487
E01003302,1.432
E01003305,1.426
E01003207,1.448
E01003209,1.476
E01003210,1.342
E01003212,1.403
E01003215,1.479
E01003338,1.448
E01003339,1.465
E01003340,1.316
E01003341,1.304
E01003343,1.410
E01003199,1.152
E01003201,1.385
E01003204,1.337
E01003205,1.449
E01003206,1.246
E01003211,1.316
E01003213,1.328
E01003214,1.414
E01033324,1.404
E01033325,1.296
E01003198,1.136
E01003200,0.923
E01003202,0.917
E01003203,1.366
E01003336,1.389
E01003337,1.377
E01003342,1.455
E01003344,1.468
E01003345,1.466
E01003273,1.518
E01003277,1.346
E01003278,1.473
E01003279,1.348
E01003288,1.479
E01003290,1.452
E01003291,1.457
E01003296,1.479
E01033327,1.483
E01033341,1.538
E01003282,1.465
E01003283,1.012
E01003284,1.348
E01003286,1.371
E01003272,1.393
E01003274,1.439
E01003275,1.474
E01003276,1.467
E01003225,1.358
E01003231,1.449
E01003232,1.456
E01003233,1.415
E01003280,1.446
E01003281,1.315
E01003285,1.309
E01003287,1.156
E01003292,1.438
E01003293,1.440
E01003295,1.441
E01033320,1.461
E01033322,1.440
E01003319,1.507
